FREMONT,94555,37.5677679,-122.0522177,3211
MORAGA,94556,37.8357202,-122.1178261,4005
NAPA,94558,38.3170536,-122.3019206,2933
NAPA,94559,38.22965,-122.3220894,2738
NEWARK,94560,37.5189256,-122.026918,3088
OAKLEY,94561,38.0044162,-121.685341,2297
ORINDA,94563,37.8912529,-122.1859572,4295
PINOLE,94564,37.9963136,-122.2937428,2704
PITTSBURG,94565,38.0182853,-121.9245556,2308
PLEASANTON,94566,37.6436199,-121.8676464,3125
DUBLIN,94568,37.7202463,-121.8676464,2971
PORT COSTA,94569,38.0403192,-122.188795,2590
RIO VISTA,94571,38.1494225,-121.7423434,1910
RODEO,94572,38.02923,-122.2483726,2707
SAN LEANDRO,94577,37.7199247,-122.1689284,2750
SAN LEANDRO,94578,37.7050703,-122.1235054,2665
SAN LEANDRO,94579,37.6851553,-122.1575745,2669
SAN LORENZO,94580,37.6729393,-122.1348629,2708
SAN RAMON,94583,37.7624642,-121.9814354,3479
SUISUN CITY,94585,38.1705985,-121.9245556,2088
SUNOL,94586,37.5867626,-121.8334868,3374
UNION CITY,94587,37.5952304,-122.043969,2795
PLEASANTON,94588,37.6873908,-121.9131761,3406
VALLEJO,94589,38.1457572,-122.2710602,2093
VALLEJO,94590,38.1052454,-122.2483726,2104
VALLEJO,94591,38.1256242,-122.1973081,2223
VALLEJO,94592,38.088795,-122.2710602,2223
WALNUT CREEK,94595,37.8655663,-122.0666997,3562
WALNUT CREEK,94596,37.8824054,-122.026918,3585
WALNUT CREEK,94598,37.8961825,-121.9814354,3483
OAKLAND,94601,37.7729273,-122.2143323,2676
OAKLAND,94602,37.8015517,-122.2143323,2876
OAKLAND,94603,37.7355719,-122.1802812,2609
OAKLAND,94605,37.7554905,-122.1462193,2772
OAKLAND,94606,37.7944092,-122.2455364,2879
OAKLAND,94607,37.8134679,-122.307917,3038
EMERYVILLE,94608,37.837959,-122.2824021,3012
OAKLAND,94609,37.8321173,-122.2625529,3163
OAKLAND,94610,37.8104485,-122.2398636,3158
OAKLAND,94611,37.8336281,-122.2029832,3182
OAKLAND,94612,37.8113159,-122.2682245,3073
OAKLAND,94613,37.7816835,-122.1817002,3073
OAKLAND,94618,37.8438192,-122.2398636,3502
OAKLAND,94619,37.7936811,-122.1462193,2857
OAKLAND,94621,37.7347438,-122.2143323,2639
BERKELEY,94702,37.8680576,-122.2852374,3164
BERKELEY,94703,37.8524741,-122.2738958,3161
BERKELEY,94704,37.8637376,-122.2682245,3287
BERKELEY,94705,37.8646149,-122.2341905,3431
ALBANY,94706,37.8883952,-122.2965778,3114
BERKELEY,94707,37.8983665,-122.2795667,3492
BERKELEY,94708,37.9020612,-122.259717,4204
BERKELEY,94709,37.8796524,-122.2668066,3477
BERKELEY,94710,37.8645848,-122.2965778,3093
BERKELEY,94720,37.870151,-122.2594606,3093
RICHMOND,94801,37.9429522,-122.3900901,2600
EL SOBRANTE,94803,37.9587253,-122.2767313,2766
RICHMOND,94804,37.9158152,-122.3390936,2704
RICHMOND,94805,37.9383242,-122.3277578,2671
SAN PABLO,94806,37.9759027,-122.3447611,2555
SAN RAFAEL,94901,37.9650627,-122.503327,3452
